label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,china_registered_dummy,under_a_year_dummy,contain_emails_dummy
0,http://www.watsons.com.tw/,www.watsons.com.tw,18,0,0,1,1,0.9555555555555556,0,0,0,0,1,1,0
0,https://www.osim.com.tw/,www.osim.com.tw,15,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.oneteaspoon.com.au/,www.oneteaspoon.com.au,22,0,0,1,14,1,0,0,0,0,1,1,0
0,https://www.panasonic.com/tw/,www.panasonic.com,17,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.philips.com.tw/,www.philips.com.tw,18,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.pixystyle.com/,www.pixystyle.com,17,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.palmerstaiwan.com.tw/,www.palmerstaiwan.com.tw,24,0,0,0,0,0,0,1,0,0,1,1,0
0,http://www.playboytw.com/,www.playboytw.com,17,0,0,0,0,0,0,1,0,0,0,0,0
0,http://www.privatestructure.com.tw/,www.privatestructure.com.tw,27,0,0,1,2,0,0,1,0,0,1,1,0
0,http://shop.passionata.com.tw/v2/official,shop.passionata.com.tw,22,0,0,1,2,1,0,0,0,0,1,1,0
0,http://us.puma.com/en_US/sorry?url=%2F&uuid=596c56d0-fa66-11e7-b542-5ff2a42fc744&vid=,us.puma.com,11,0,0,1,1,0,0,0,0,0,0,0,0
0,http://tw.memebox.com/v2/official,tw.memebox.com,14,0,0,1,3,1,0,0,0,0,1,1,0
0,http://www.minoshe.com.tw/,www.minoshe.com.tw,18,0,0,0,0,0,0,1,0,0,1,1,0
0,http://www.seiko.com.tw/,www.seiko.com.tw,16,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.silwa.com.tw/,www.silwa.com.tw,16,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.sk-ii.com.tw/,www.sk-ii.com.tw,16,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.sebamed.com.tw/,www.sebamed.com.tw,18,0,0,0,0,0,0,1,0,0,1,1,0
0,http://www.s-moda.com.tw/webapp/wcs/stores/servlet/TopCategoriesDisplay?catalogId=10101&urlLangId=-8&langId=-8&urlRequestType=Base&storeId=10001,www.s-moda.com.tw,17,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.skechers-twn.com/zh-tw/home,www.skechers-twn.com,20,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.sandisk.com.tw/,www.sandisk.com.tw,18,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.sunvitamin.com.tw/,www.sunvitamin.com.tw,21,0,0,1,3,0.34615384615384615,0,0,0,0,1,1,0
0,http://www.sanuk.com.tw/,www.sanuk.com.tw,16,0,0,1,6,1,0,0,0,0,1,0,0
0,https://www.satana.com.tw/,www.satana.com.tw,17,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.samsung.com/tw/,www.samsung.com,15,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.samsonite.com.tw/,www.samsonite.com.tw,20,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.shiseido.com.tw/,www.shiseido.com.tw,19,0,0,1,6,0.2,0,0,0,0,1,0,0
0,http://www.swissvita.com/,www.swissvita.com,17,0,0,1,1,0.23333333333333334,0,0,0,0,0,0,0
0,https://swissvita.allyoung.com.tw/,swissvita.allyoung.com.tw,25,0,0,1,1,0.23333333333333334,0,0,0,0,1,1,0
0,https://www.citysports.com/,www.citysports.com,18,0,0,1,7,0.5918367346938775,0,0,0,0,0,0,0
0,https://www.sharp.com.tw/cms/,www.sharp.com.tw,16,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.tiger-corporation.tw/,www.tiger-corporation.tw,24,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.tokuyo.com.tw/,www.tokuyo.com.tw,17,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.triumph.com/tw/zh/index.html,www.triumph.com,15,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.tonia-nicole.com/,www.tonia-nicole.com,20,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.takasima.com/,www.takasima.com,16,0,0,0,0,0,0,0,0,0,0,0,0
0,http://tefal-home.com.tw/,tefal-home.com.tw,17,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.tecohome.com.tw/tw,www.tecohome.com.tw,19,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.toms.com/,www.toms.com,12,0,0,1,3,0.5,0,0,0,0,0,0,0
0,https://tw.transcend-info.com/,tw.transcend-info.com,21,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.timberland.com.tw/,www.timberland.com.tw,21,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.thenorthface.com.tw/v2/official,www.thenorthface.com.tw,23,0,0,1,6,1,0,0,0,0,1,1,0
0,http://www.vichy.com.tw/index.php,www.vichy.com.tw,16,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.wealthmarch.com.tw/,www.wealthmarch.com.tw,22,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.wumi.com.tw/v2/official,www.wumi.com.tw,15,0,0,1,9,0,0,0,0,0,1,1,0
0,http://www.yvonneco.com.tw/,www.yvonneco.com.tw,19,0,0,0,0,0,0,0,0,0,1,1,0
